"11CK","13CK","15EK","17EK","18EK","18EK","21EK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11CK","13CK","15DK","17EK","18DK","18DK","21EK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11BK","13CK","15CK","17EK","18DK","18DK","21DK","21EK","20EK","22EK","26EK","26EK","28EK","28EK","33EK","36EK","30EK","33EK","36EK","38EK"
"11BK","13BK","15CK","17DK","18CK","18DK","21DK","21EK","20DK","22EK","26EK","26EK","28EK","28EK","32EK","36EK","30EK","33EK","36EK","37EK"
"11BK","13BK","15CK","17DK","18CK","18CK","21DK","21DK","20DK","22EK","26EK","26EK","28EK","28EK","32EK","35EK","29EK","32EK","35EK","37EK"
"11AK","13BK","15CK","17DK","18CK","18CK","21DK","21DK","20DK","21DK","25DK","25EK","27EK","27EK","32EK","35EK","29EK","32EK","35EK","37EK"
"11AK","13BK","15CK","17DK","18CK","18CK","20CK","20DK","19DK","21 DK","25DK","25EK","27EK","27EK","32EK","35EK","39EK","32EK","35EK","36EK"
"11AK","13AK","15BK","16CK","17CK","17CK","20CK","20DK","19CK","21 DK","25DK","25EK","27DK","27EK","32EK","34EK","28 DK","31 EK","34EK","36EK"
"11AK","13AK","15BK","16CK","17CK","17CK","20CK","20DK","19CK","21 DK","25DK","25DK","27DK","27DK","31EK","34EK","28DK","31 EK","34EK","36EK"
"11AK","13AK","14BK","16CK","17BK","17CK","20CK","20DK","19CK","21 DK","24DK","24DK","27DK","27DK","31 DK","34EK","28 DK","31 EK","34EK","35EK"
"11AK","13AK","14BK","16CK","17BK","17CK","20CK","20CK","19CK","20CK","24DK","24DK","26DK","26DK","31 DK","33EK","28DK","30DK","34EK","35EK"
"11","12AK","14BK","16CK","17BK","17BK","20CK","19CK","19CK","20CK","24DK","24DK","26DK","26DK","31 DK","33DK","27DK","30DK","33EK","35EK"
"11","12AK","14BK","16CK","17BK","17BK","19CK","19CK","18CK","20CK","24CK","24DK","26CK","26DK","30DK","33DK","27DK","30DK","33EK","34EK"
"10","12AK","14BK","16CK","17BK","17BK","19CK","19CK","18CK","20CK","23CK","23DK","26CK","26DK","30DK","32DK","27CK","29DK","33EK","34EK"
"10","12AK","14AK","15BK","16BK","16BK","19CK","19CK","18CK","20CK","23CK","23DK","26CK","25DK","30DK","32DK","26DK","29DK","32EK","34DK"
"10","12AK","14AK","15BK","16BK","16BK","19CK","19CK","18CK","19CK","23CK","23DK","25CK","25DK","29DK","32DK","26CK","29DK","32EK","33DK"
"10","12","14AK","15BK","16AK","16BK","19BK","18CK","18CK","19CK","23CK","23DK","25CK","25DK","29DK","32DK","26CK","29DK","32DK","33DK"
"10","12","13AK","15BK","16AK","16BK","18BK","18CK","18CK","19CK","22CK","22CK","25CK","25DK","29DK","31DK","26CK","28DK","32DK","33DK"
"10","12","13AK","15BK","16AK","16BK","18BK","18CK","17BK","19CK","22CK","22CK","25CK","25CK","29DK","31 DK","25CK","28CK","31 DK","32DK"
"10","12","13AK","15BK","16AK","16AK","18BK","18CK","17BK","19CK","22CK","22CK","25CK","24CK","28CK","31 DK","25CK","28CK","31 DK","32DK"
"10","12","13AK","15BK","16AK","16AK","18BK","18CK","17BK","18CK","22CK","22CK","24CK","24CK","28CK","30DK","25CK","27CK","31 DK","32DK"
"10","11","13AK","14BK","15AK","15AK","18BK","18BK","17BK","18CK","22CK","21CK","24CK","24CK","28CK","30DK","24CK","27CK","30DK","31 DK"
"10","11","13AK","14AK","15AK","15AK","18BK","17BK","17BK","18BK","21CK","21CK","24CK","24CK","28CK","30CK","24CK","27CK","30DK","31 DK"
"10","11","13AK","14AK","15AK","15AK","17BK","17BK","17BK","18BK","21CK","21CK","24CK","24CK","27CK","29CK","24BK","26CK","30DK","31CK"
"10","11","13AK","14AK","15AK","15AK","17BK","17BK","16BK","18BK","21CK","21CK","24CK","23CK","27CK","29CK","23BK","26CK","30DK","30CK"
